#x,Winkel-A
-0.000125,0.00636635
0.049818,2014.9
0.095639,4016.3
0.109689,4578.1
0.120717,5000.9
0.13589,5584.3
0.148335,5998.9
0.160865,6400.6
0.171325,6707.5
0.18387,6991.8
0.192517,7132.9
0.20084,7209.8
0.207754,7219.1
0.216182,7123.7
0.224116,6983.3
0.238398,6713.8
0.254277,6342.8
0.26932,5996
0.283947,5644.4
0.30016,5265.4
0.3238,4800.6
0.346264,4408.4
0.368395,4014.6
0.39962,3528.6
0.448598,3003
0.499159,2477.4
0.547613,2162.7
0.598553,1910.6
0.698174,1545.1
0.798774,1282.5
0.898952,1100.4
1.00028,1040.5
