time,Fy
0,0
0.0006,26.7542131586374
0.0012,53.5084263172886
0.0018,80.2626394759402
0.0024,107.016852634592
0.003,133.771065793243
0.0036,160.525278951895
0.0042,187.279492110546
0.0048,214.033705269198
0.0054,240.787918427849
0.006,267.542131586501
0.0066,294.296344745155
0.0072,321.050557903795
0.0078,347.804771062464
0.0084,374.558984221104
0.009,401.313197379744
0.0096,428.067410538413
0.0102,454.821623697053
0.0108,481.575836855722
0.0114,508.330050014362
0.012,535.084263173002
0.0126,561.838476331670
0.0132,588.592689490310
0.0138,615.346902648979
0.0144,642.101115807619
0.015,668.855328966259
0.0156,695.609542124928
0.0162,722.363755283568
0.0168,749.117968442237
0.0174,775.872181600877
0.018,802.626394759517
0.0186,829.380607918186
0.0192,856.134821076826
0.0198,882.889034235494
0.0204,909.643247394134
0.021,936.397460552774
0.0216,963.151673711443
0.0222,989.905886870083
0.0228,1016.66010002875
0.0234,1043.41431318739
0.024,1070.16852634603
0.0246,1096.92273950470
0.0252,1123.67695266334
0.0258,1150.43116582198
0.0264,1177.18537898065
0.027,1203.93959213929
0.0276,1230.69380529796
0.0282,1257.44801845660
0.0288,1284.20223161527
0.0294,1310.95644477391
0.03,1337.71065793255
0.0306,1364.46487109122
0.0312,1391.21908424986
0.0318,1417.97329740850
0.0324,1444.72751056716
0.033,1471.48172372580
0.0336,1498.23593688447
0.0342,1524.99015004311
0.0348,1551.74436320175
0.0354,1578.49857636042
0.036,1605.25278951906
0.0366,1632.00700267773
0.0372,1658.76121583637
0.0378,1685.51542899501
0.0384,1712.26964215368
0.039,1739.02385531232
0.0396,1765.77806847099
0.0402,1792.53228162963
0.0408,1819.28649478827
0.0414,1846.04070794694
0.042,1872.79492110558
0.0426,1899.54887481107
0.0432,1926.30222650762
0.0438,1953.05553890908
0.0444,1979.80881464246
0.045,2006.56205322967
0.0456,2033.31482907201
0.0462,2060.06745819131
0.0468,2086.82002720365
0.0474,2113.57253617744
0.048,2140.32498436993
0.0486,2167.07737103196
0.0492,2193.82969541553
0.0498,2220.58140205622
0.0504,2247.33227948326
0.051,2274.07576618607
0.0516,2300.82321421201
0.0522,2327.57043352603
0.0528,2354.31742798238
0.0534,2381.06303334815
0.054,2407.80776653970
0.0546,2434.55219289409
0.0552,2461.29632508154
0.0558,2488.03992580188
0.0564,2514.78177439427
0.057,2541.52319744480
0.0576,2568.26425731713
0.0582,2595.00434237317
0.0588,2621.74384677514
0.0594,2648.48294899619
0.06,2675.22165054020
0.0606,2701.95873695211
0.0612,2728.69319986787
0.0618,2755.42597199811
0.0624,2782.15749011465
0.063,2808.88665312652
0.0636,2835.61451340872
0.0642,2862.34044707750
0.0648,2889.06249761107
0.0654,2915.78240007994
0.066,2942.50065221290
0.0666,2969.21801173997
0.0672,2995.93387865261
0.0678,3022.64464682880
0.0684,3049.35333194966
0.069,3076.05994197091
0.0696,3102.76357580275
0.0702,3129.46386594710
0.0708,3156.16023932026
0.0714,3182.85521252294
0.072,3209.54616034531
0.0726,3236.22942847834
0.0732,3262.90827160483
0.0738,3289.58423953258
0.0744,3316.25821964112
0.075,3342.93028125667
0.0756,3369.59823076963
0.0762,3396.26072552861
0.0768,3422.91903482966
0.0774,3449.57436436781
0.078,3476.22639224256
